,EXG Channel 0
0,367.40777164697647
1,-7821.23781773448
2,385.11993783712387
3,394.8137585222721
4,318.6993146240711
5,366.45035725831985
6,425.92972615361214
7,320.9731737971306
8,313.0745050907135
9,419.3475022315979
10,373.27193477749825
11,319.4173754155636
12,375.42611715197563
13,398.0450320839882
14,331.62440887093544
15,337.84760239720345
16,407.8585295677185
17,376.5032083392143
18,354.7220309972763
19,415.87687507271767
20,365.97165006399155
21,312.23676750063896
22,365.2535892724991
23,414.32107669115067
24,335.573743224144
25,356.63685977458954
26,409.8930351436138
27,343.352735131979
28,356.03847578167915
29,409.29465115070343
30,354.00397020578384
31,323.72574016451836
32,430.47744449973106
33,422.3394221961498
34,325.1618617475033
35,342.3953207433224
36,436.34160763025284
37,328.51281210780144
38,369.56195402145386
39,401.1566288471222
40,374.5883795619011
41,345.5069175064564
42,393.97602093219757
43,377.1015923321247
44,314.7499802708626
45,372.31452038884163
46,404.8666096031666
47,352.8072022199631
48,345.9856247007847
49,404.7469328045845
50,390.50539377331734
51,339.1640471816063
52,395.17278891801834
53,356.03847578167915
54,301.5855324268341
55,357.59427416324615
56,404.1485488116741
57,336.0524504184723
58,340.95919916033745
59,396.9679408967495
60,366.3306804597378
61,304.2184219956398
62,415.6375214755535
63,387.0347666144371
64,323.9650937616825
65,354.00397020578384
66,404.02887201309204
67,343.59208872914314
68,312.83515149354935
69,421.5016846060753
70,396.60891050100327
71,327.31604412198067
72,354.96138459444046
73,379.6148051023483
74,311.3990299105644
75,347.5414230823517
76,404.02887201309204
77,343.11338153481483
78,333.8982680439949
79,433.3496876657009
80,351.2514038383961
81,289.019468575716
82,357.71395096182823
83,432.63162687420845
84,342.99370473623276
85,363.81746768951416
86,339.5230775773525
87,412.6456015110016
88,372.19484359025955
89,329.7095800936222
90,373.5112883746624
91,393.49731373786926
92,328.1537817120552
93,343.59208872914314
94,410.3717423379421
95,352.8072022199631
96,348.4988374710083
97,391.1037777662277
98,383.803493052721
99,339.0443703830242
100,388.35121139883995
101,386.4363826215267
102,318.9386682212353
103,353.7646166086197
104,401.1566288471222
105,347.5414230823517
106,340.48049196600914
107,415.0391374826431
108,395.17278891801834
109,322.0502649843693
110,365.2535892724991
111,380.2131890952587
112,331.14570167660713
113,362.38134610652924
114,395.2924657166004
115,323.4863865673542
116,334.4966520369053
117,429.1609997153282
118,357.8336277604103
119,334.4966520369053
120,395.5318193137646
121,384.5215538442135
122,310.5612923204899
123,350.6530198454857
124,411.32915672659874
125,326.5979833304882
126,347.78077667951584
127,402.95178082585335
128,357.9533045589924
129,309.4842011332512
130,385.4789682328701
131,400.5582448542118
132,318.10093063116074
133,354.7220309972763
134,408.09788316488266
135,329.47022649645805
136,334.3769752383232
137,415.87687507271767
138,376.26385474205017
139,296.3197532892227
140,393.8563441336155
141,421.3820078074932
142,348.02013027668
143,355.08106139302254
144,406.06337758898735
145,340.36081516742706
146,325.5208921432495
147,421.26233100891113
148,378.0590067207813
149,308.4071099460125
150,394.4547281265259
151,391.94151535630226
152,304.3380987942219
153,356.7565365731716
154,426.0494029521942
155,356.03847578167915
156,331.3850552737713
157,418.98847183585167
158,393.3776369392872
159,339.7624311745167
160,395.4121425151825
161,406.9011151790619
162,330.7866712808609
163,330.42764088511467
164,415.6375214755535
165,322.4092953801155
166,358.19265815615654
167,427.84455493092537
168,381.52963387966156
169,322.76832577586174
170,390.1463633775711
171,374.70805636048317
172,320.01575940847397
173,390.1463633775711
174,317.8615770339966
175,366.92906445264816
176,415.87687507271767
177,333.8982680439949
178,331.50473207235336
179,408.4569135606289
180,392.42022255063057
181,336.89018800854683
182,376.98191553354263
183,416.7146126627922
184,337.0098648071289
185,341.43790635466576
186,388.94959539175034
187,343.2330583333969
188,340.36081516742706
189,414.32107669115067
190,316.42545545101166
191,403.6698416173458
192,407.8585295677185
193,328.03410491347313
194,359.9878101348877
195,395.7711729109287
196,346.464331895113
197,341.3182295560837
198,389.90700978040695
199,356.3975061774254
200,337.24921840429306
201,393.3776369392872
202,382.12801787257195
203,336.6508344113827
204,346.464331895113
205,410.3717423379421
206,345.14788711071014
207,304.8168059885502
208,416.1162286698818
209,377.1015923321247
210,352.32849502563477
211,377.2212691307068
212,393.97602093219757
213,315.7073946595192
214,343.47241193056107
215,415.0391374826431
216,347.0627158880234
217,351.96946462988853
218,416.95396625995636
219,347.78077667951584
220,329.1111961007118
221,397.0876176953316
222,401.1566288471222
223,340.36081516742706
224,354.1236470043659
225,430.7167980968952
226,353.1662326157093
227,333.06053045392036
228,392.42022255063057
229,360.5861941277981
230,329.7095800936222
231,430.9561516940594
232,385.83799862861633
233,308.2874331474304
234,337.72792559862137
235,409.29465115070343
236,339.7624311745167
237,332.70150005817413
238,410.4914191365242
239,361.0649013221264
240,293.8065405189991
241,388.2315346002579
242,382.00834107398987
243,338.685339987278
244,350.1743126511574
245,392.53989934921265
246,335.573743224144
247,340.83952236175537
248,408.21755996346474
249,380.3328658938408
250,310.68096911907196
251,380.45254269242287
252,398.6434160768986
253,325.0421849489212
254,361.0649013221264
255,392.8989297449589
256,323.24703297019005
257,354.243323802948
258,414.91946068406105
259,362.1419925093651
260,332.9408536553383
261,382.60672506690025
262,378.2983603179455
263,303.1413308084011
264,368.9635700285435
265,408.3372367620468
266,385.83799862861633
267,325.76024574041367
268,394.9334353208542
269,353.6449398100376
270,325.76024574041367
271,388.1118578016758
272,397.9253552854061
273,326.5979833304882
274,339.7624311745167
275,429.40035331249237
276,340.83952236175537
277,342.03629034757614
278,418.7491182386875
279,367.04874125123024
280,284.11271983385086
281,416.7146126627922
282,362.38134610652924
283,336.4114808142185
284,372.912904381752
285,420.4245934188366
286,341.6772599518299
287,359.3894261419773
288,402.1140432357788
289,370.9980756044388
290,322.4092953801155
291,384.8805842399597
292,411.68818712234497
293,333.06053045392036
294,363.6977908909321
295,418.2704110443592
296,341.91661354899406
297,301.1068252325058
298,399.6008304655552
299,372.79322758316994
300,334.4966520369053
301,401.7550128400326
302,401.5156592428684
303,320.2551130056381
304,366.3306804597378
305,422.1000685989857
306,350.41366624832153
307,348.25948387384415
308,434.66613245010376
309,375.1867635548115
310,314.7499802708626
311,380.3328658938408
312,380.691896289587
313,327.794751316309
314,348.9775446653366
315,429.2806765139103
316,351.0120502412319
317,351.131727039814
318,405.9437007904053
319,333.8982680439949
320,313.31385868787766
321,405.2256399989128
322,402.83210402727127
323,345.9856247007847
324,382.60672506690025
325,404.02887201309204
326,352.5678486227989
327,339.28372398018837
328,307.3300187587738
329,388.7102417945862
330,372.4341971874237
331,303.1413308084011
332,373.9899955689907
333,399.36147686839104
334,329.8292568922043
335,342.1559671461582
336,399.1221232712269
337,358.67136535048485
338,332.2227928638458
339,386.4363826215267
340,373.3916115760803
341,325.9995993375778
342,366.0913268625736
343,412.40624791383743
344,350.89237344264984
345,357.8336277604103
346,416.1162286698818
347,385.23961463570595
348,373.3916115760803
349,395.7711729109287
350,368.245509237051
351,315.7073946595192
352,375.5457939505577
